scene,id,type,name,line,text,recommendation
Village,elder,npc,Elder Omarch,1,"Welcome! I am Elder Omarch, keeper of workspaces.",
Village,elder,npc,Elder Omarch,2,"Omarchy has 10 workspaces. Super+1 through Super+0 to jump.",
Village,elder,npc,Elder Omarch,3,"Super+Tab cycles next, Super+Shift+Tab cycles previous.",
Village,elder,npc,Elder Omarch,4,"Super+Ctrl+Tab returns to your former workspace.",
Village,elder,npc,Elder Omarch,5,"Super+Shift+1-0 moves a window to another workspace (it follows).",
Village,elder,npc,Elder Omarch,6,"Super+Shift+Alt+1-0 moves a window silently (stays on current).",
Village,elder,npc,Elder Omarch,7,"Super+L toggles dwindle vs scrolling layout per-workspace.",
Village,elder,npc,Elder Omarch,8,"Dwindle: all windows visible, shrinks to fit.",
Village,elder,npc,Elder Omarch,9,"Scrolling: windows side-by-side beyond screen edge.",
Village,elder,npc,Elder Omarch,10,"Super+S toggles the Scratchpad, a hidden overlay workspace.",
Village,elder,npc,Elder Omarch,11,"Super+Alt+S sends a window to the scratchpad.",
Village,elder,npc,Elder Omarch,12,"Super+G toggles window grouping. Grouped windows share tile space.",
Village,elder,npc,Elder Omarch,13,"Super+Alt+Tab cycles windows within a group.",
Village,elder,npc,Elder Omarch,14,"Super+Ctrl+Left/Right moves between grouped windows.",You now know navigation! Head to the Forest to learn all keybinds.
Village,blacksmith,npc,Blacksmith Tiling,1,"I am the Blacksmith! I forge windows into place.",
Village,blacksmith,npc,Blacksmith Tiling,2,"Windows tile automatically. Super+W closes focused window.",
Village,blacksmith,npc,Blacksmith Tiling,3,"Super+T toggles tiling/floating mode.",
Village,blacksmith,npc,Blacksmith Tiling,4,"Super+F fullscreen. Super+Ctrl+F tiled fullscreen.",
Village,blacksmith,npc,Blacksmith Tiling,5,"Super+Alt+F full width (keeps top bar).",
Village,blacksmith,npc,Blacksmith Tiling,6,"Super+O pops window out as a sticky float.",
Village,blacksmith,npc,Blacksmith Tiling,7,"Super+J toggles split direction (horizontal/vertical).",
Village,blacksmith,npc,Blacksmith Tiling,8,"Super+P toggles pseudo style (natural vs stretch).",
Village,blacksmith,npc,Blacksmith Tiling,9,"Super+Arrow keys focus adjacent windows.",
Village,blacksmith,npc,Blacksmith Tiling,10,"Super+Shift+Arrow swaps windows in that direction.",
Village,blacksmith,npc,Blacksmith Tiling,11,"Resize: Super+Minus/Equal expands/shrinks left.",
Village,blacksmith,npc,Blacksmith Tiling,12,"Super+Shift+Minus/Equal expands/shrinks up.",
Village,blacksmith,npc,Blacksmith Tiling,13,"Add Alt for smaller steps, Ctrl for bigger steps.",
Village,blacksmith,npc,Blacksmith Tiling,14,"Super+Alt+Home saves width, Super+Home restores.",
Village,blacksmith,npc,Blacksmith Tiling,15,"Super+Ctrl+Backspace forces single window to square.",
Village,blacksmith,npc,Blacksmith Tiling,16,"Super+Shift+Backspace toggles window gaps.",
Village,blacksmith,npc,Blacksmith Tiling,17,"Super+Backspace toggles window transparency.",
Village,blacksmith,npc,Blacksmith Tiling,18,"Super+Left drag moves window. Super+Right drag resizes.",
